Variable,Date,X1,X2,X3,X4,X5,X6,X7,X8,X9,X10,X11,X12,X13,X14,X15,X16,X17,X18,X19,X20,X21,X22,X23,X24
HB_BUSAVG,2016-01-01,18.42,16.15,15.61,15.62,15.94,16.69,18.96,19.18,19.09,19.66,20.6,20.61,20.31,20.07,19.09,19.34,20.07,24.96,26.26,23.24,22.79,21.36,20.31,19.65
HB_BUSAVG,2016-01-02,18.99,17.94,17.16,17.0,17.9,17.65,20.11,21.33,23.41,24.87,23.4,21.84,20.78,19.68,18.29,17.94,19.34,23.48,23.48,21.73,20.73,19.97,19.87,18.43
HB_BUSAVG,2016-01-03,17.44,16.46,16.18,16.35,17.01,17.7,19.28,20.03,20.17,20.22,19.85,18.66,17.14,16.33,16.04,15.97,16.98,21.26,21.87,20.88,20.25,19.69,18.78,18.14
HB_BUSAVG,2016-01-04,17.01,17.07,17.47,18.0,19.34,21.79,53.72,35.84,24.43,23.83,21.87,20.28,19.03,17.5,16.44,16.52,17.43,23.0,27.38,22.92,22.65,21.53,20.39,18.72
HB_BUSAVG,2016-01-05,15.89,15.88,15.99,16.5,18.0,21.19,48.84,29.84,22.98,22.67,21.49,20.61,19.74,19.08,18.01,17.63,18.48,22.64,22.71,21.93,21.0,19.64,18.61,17.11
HB_BUSAVG,2016-01-06,12.6,10.69,10.28,11.67,13.68,17.35,23.4,21.76,20.49,20.43,20.82,19.69,18.66,18.86,18.48,17.67,18.43,24.96,24.23,21.39,19.98,18.64,16.82,15.64
HB_BUSAVG,2016-01-07,14.44,11.11,10.67,11.0,12.74,14.96,21.41,21.51,19.93,19.64,19.82,16.79,16.56,16.31,15.65,15.66,16.19,22.97,22.18,20.78,19.75,17.97,15.87,14.84
HB_BUSAVG,2016-01-08,15.44,14.04,14.03,14.03,15.1,17.53,22.81,22.39,21.42,21.31,20.63,18.69,17.38,17.24,16.57,16.53,17.6,23.5,22.0,20.26,19.66,17.95,17.49,16.51
HB_BUSAVG,2016-01-09,16.11,14.52,14.12,13.99,14.14,13.43,17.0,19.75,20.25,21.56,22.12,20.47,18.16,17.91,17.39,17.53,18.89,23.93,23.69,23.49,22.17,21.57,20.9,19.23
HB_BUSAVG,2016-01-10,18.22,17.17,17.61,17.88,19.48,20.91,23.41,23.72,27.47,26.4,23.51,21.05,20.4,19.56,18.05,18.04,18.59,23.52,22.99,22.81,22.48,21.2,19.74,18.06
HB_BUSAVG,2016-01-11,16.71,16.7,16.7,17.55,19.5,21.83,54.55,39.56,23.72,23.17,22.05,20.73,20.09,19.26,18.64,18.56,18.45,23.71,26.19,23.82,22.51,21.39,19.6,18.42
HB_BUSAVG,2016-01-12,16.47,16.0,15.65,16.12,17.08,20.37,37.6,25.78,21.84,21.39,21.05,19.38,18.64,17.6,17.08,16.75,16.41,21.12,21.93,21.28,20.47,19.79,18.6,17.37
HB_BUSAVG,2016-01-13,16.17,15.08,14.66,14.81,16.43,20.73,31.96,25.53,21.29,21.0,20.63,19.98,18.82,18.66,17.71,16.72,16.68,20.95,21.8,20.48,19.27,18.14,17.35,16.24
HB_BUSAVG,2016-01-14,13.36,11.13,11.25,12.58,14.06,18.88,24.85,22.74,20.4,19.83,20.07,19.07,18.04,17.54,16.96,15.88,15.81,20.77,20.72,19.77,18.11,17.08,16.82,15.42
